target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
C,literature_2019_2020,spatial_baseline_residual_zone,RF,failed: Input y contains NaN.,,,,,,,,,,,,,
C,literature_2019_2020,temporal_weighted,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.060520567040154405,0.06543166097807307,50.79064660370073,24.38987192669924,36.56393625584065,True,
C,literature_2019_2020,two_stage_high_pollution,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.05735535358178412,0.08250061665332686,50.876134402981336,23.61153576226409,35.552158482879676,,77.6
C,literature_2019_2020,direct_global,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.059994045007195185,0.11539005705835159,50.80487716997947,24.027428709742395,35.815737140575905,,
C,literature_2019_2020,spatial_zone_features,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.04430269970966694,0.08514334929120138,51.227160391881796,23.910080097770344,35.303528987744286,,
C,literature_2019_2020,spatial_baseline_residual,ExtraTrees,failed: Input y contains NaN.,,,,,,,,,,,,,
C,literature_2019_2020,spatial_baseline_residual_zone,ExtraTrees,failed: Input y contains NaN.,,,,,,,,,,,,,
C,literature_2019_2020,temporal_weighted,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.07326578694356489,0.10787625975594872,50.44495065478577,24.507904316666444,36.90083798120203,True,
C,literature_2019_2020,two_stage_high_pollution,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.07433811529332068,0.1441653175219192,50.41575716707398,22.770143073110088,34.24082092001488,,77.6
C,literature_2019_2020,direct_global,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976,,
C,literature_2019_2020,spatial_zone_features,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.11661672764535069,0.06423908929712685,49.25095871954634,24.773383785194493,38.79402980510899,,
C,literature_2019_2020,spatial_baseline_residual,HistGBR,failed: Input y contains NaN.,,,,,,,,,,,,,
C,literature_2019_2020,spatial_baseline_residual_zone,HistGBR,failed: Input y contains NaN.,,,,,,,,,,,,,
C,literature_2019_2020,temporal_weighted,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.1231229125950436,0.014140716686005916,49.06925500848489,24.83510525134693,39.40581694392935,True,
C,literature_2019_2020,direct_global,ElasticNet,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.031832458166112465,-0.00506788973292549,53.228557378218795,24.387682424754598,34.67068218888994,,
C,literature_2019_2020,spatial_zone_features,ElasticNet,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.027725609413909336,-0.009340899668079494,53.122522922944974,24.63509909445648,35.37839356913609,,
C,literature_2019_2020,spatial_baseline_residual,ElasticNet,failed: Input y contains NaN.,,,,,,,,,,,,,
