target,spatial_block,model,status,n_train,n_test,n_features,lon_min,lon_max,lat_min,lat_max,r2,r2_log1p,rmse,mae,mape
E,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.11253261926621572,-0.6190331503125575,25.93647501217728,8.465081370654614,21.463054562244697
E,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.028102559734628274,-0.21904143556416056,24.932899990881644,7.5032022903538005,18.255394365616436
E,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.03275361018218215,-0.46316469745291555,24.989233533348056,8.780405587427092,24.17079721169021
E,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.15392066596966547,-1.1417255029809361,26.414509496418138,12.023872839711878,36.240862568387136
E,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.2838108849421841,-1.1854801180282095,27.861538969613274,11.256730063990418,32.3845129267645
E,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.23172121903233167,-2.4130463189908307,27.290455620032226,12.182082280865867,32.50673214100211
F,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,0.049442761936515645,-0.0014988070995218816,33.08123931621015,22.37743544205759,62.2968004347011
F,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.17224385943015408,-0.3378980142758494,36.736824853814376,25.95124152571084,77.55882310196453
F,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.12537460766805641,-0.2278343384135948,35.99491815258303,24.453658122072866,67.87190719962332
F,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.186522721808273,-0.3111796121970507,36.9598895035902,24.591499355511075,65.09699321221423
F,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,0.005825646398857631,-0.04788013540917713,33.83170710569199,23.024767228495723,64.23756650011742
F,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-1.0368384045469337,-8.352817317103076,48.4251441298735,35.148156312217786,80.69044207788856
G,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.07553865647804403,-0.1347067102284203,53.12654288360598,24.174357689281177,24.5177447596469
G,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.16108609076277247,-0.29770905954033755,55.198942169754524,26.276208625778576,27.12745410199682
G,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.18681808708138448,-0.357881150753677,55.807249938669585,25.340153891821746,24.75146696173881
G,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.2266688113696793,-0.5598033957223949,56.73645612880015,27.983789841255128,27.57915003033145
