protocol,target,feature_set,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,E,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,0.06298309333083052,0.04082464279511977,10.867790238720517,7.945535753690316,29.502597897304117
literature_2019_2020,E,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,-0.04044522317356769,-0.022496356216812563,11.451889379385378,7.7094319483947755,28.88435370352869
literature_2019_2020,E,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,0.01944618677030452,0.050137242992251974,11.117400478944676,7.61800909145957,27.18338767007254
literature_2019_2020,F,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,0.13417945414148058,0.22745239752070323,79.86034892494568,38.811771602289475,66.25794528195962
literature_2019_2020,F,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,0.07162556809842646,0.13830433102125528,82.69492264268014,40.6205504946056,69.09708310562138
literature_2019_2020,F,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,-0.5493684680330122,0.21156509147366442,106.83034139947715,43.64541385679106,63.076517724932344
literature_2019_2020,F,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,0.14589450897952017,0.25341714139232596,79.31823043385165,37.5701193283081,60.84171502960323
literature_2019_2020,F,spatial_distribution_only,spatial_distribution_features,LightGBM,815,100,139,0.14317329416113755,0.16847352538117155,79.44448550381554,38.72877733207133,69.04731894433365
literature_2019_2020,F,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,0.12144053380447684,0.2643706506911264,80.44570108864866,38.303224611135825,62.613996402945396
literature_2019_2020,F,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,815,100,223,0.021673744176124887,0.19927960209004458,84.89050442920662,40.535743212816385,67.03781460553617
literature_2019_2020,F,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,-0.467010505980618,0.14778635752998992,103.95224469457762,45.261051024809724,63.787967817043814
literature_2019_2020,F,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,0.12077768041558534,0.27823631866512244,80.47604260424752,37.86024228591919,60.48099029796282
literature_2019_2020,F,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,0.15568322860863448,0.23359044710932475,78.86239601160658,38.20291331260524,67.93020871954944
literature_2019_2020,G,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,-0.06223725727168383,-0.18958408164607032,128.41872398904968,50.2178234156149,37.94902778183291
literature_2019_2020,G,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,-0.20052728408278409,-0.2729863841692206,136.52230200709997,53.26011038604408,40.29670446862529
literature_2019_2020,G,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,-0.25303788896083623,-0.41688714430473417,139.4760652301485,57.15552154052064,43.230302318027
literature_2019_2020,G,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,-0.042118073202134454,-0.07981387866911005,127.19676008678053,46.768845731506346,33.208377740496346
literature_2019_2020,G,spatial_distribution_only,spatial_distribution_features,LightGBM,815,100,139,-0.1959336736880164,-0.3539265877509534,136.26086216902823,56.236943905882036,42.57443812210255
literature_2019_2020,G,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,-0.04909759074616038,-0.13956026150988565,127.62199526385854,48.92654446688876,38.193338486752374
literature_2019_2020,G,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,815,100,223,-0.06543076505878331,-0.12216479960087612,128.6116180054946,51.65430491502095,39.9460330356715
literature_2019_2020,G,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,-0.19268830489049638,-0.4532388575575681,136.07585309393164,57.85922708719144,46.185226840799125
literature_2019_2020,G,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,-0.013996421316696095,-0.0133586661708478,125.46881505138138,46.478013858947754,34.36578222849946
literature_2019_2020,G,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,-0.14499468890366596,-0.22601585868825058,133.32737278722993,54.74244653830824,41.3743550120388
literature_2019_2020,H,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,0.01996903627178026,0.03936869047586178,0.35346037747421644,0.11970597403844202,67.41518239647066
literature_2019_2020,H,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,-0.04629321407323217,-0.06934940675671819,0.365214105369941,0.13098495094829962,77.30455429272223
literature_2019_2020,H,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,0.12414120194415701,0.18814261629977858,0.33414724648039873,0.11478151642451685,63.74833196942894
