target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
B,random_fivefold_cv,3,RF,ok,778,194,0.03866123310249947,0.2181143695329293,3.698158081068722,0.9076288172867063,164.52409914058126
B,random_fivefold_cv,4,RF,ok,778,194,0.05321262002754923,0.07722910254107085,3.5219189738465313,0.9421066618403778,203.4994976335996
B,random_fivefold_cv,5,RF,ok,778,194,0.006855122264035729,0.20500134959330296,7.569472953662575,1.4730742484427946,125.15585972905919
B,random_fivefold_cv,pooled,RF,ok,778,972,0.02657280576720522,0.15226498701026514,4.737062923229667,1.104689955432182,176.76283188052838
B,random_fivefold_cv,1,XGBoost,ok,777,195,0.06357384415207457,0.2029685903142303,4.76634149131633,1.342489343716915,199.73174799965477
B,random_fivefold_cv,2,XGBoost,ok,777,195,-0.011346531900823686,0.07246566019472511,2.386103116879614,0.7913199168407611,148.20229806564862
B,random_fivefold_cv,3,XGBoost,ok,778,194,0.027387106232131142,0.20922872210751353,3.719779998323404,0.9079728031050298,150.60830916536653
B,random_fivefold_cv,4,XGBoost,ok,778,194,0.07208659298242137,0.10573962456955976,3.4866379660313656,0.9475148211234622,203.91414069673797
B,random_fivefold_cv,5,XGBoost,ok,778,194,-0.004407634478352129,0.16610152155566982,7.612272746574133,1.4665915511269547,121.77506921958152
B,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.025985003474392254,0.16118726336391875,4.738492940925677,1.0911277426210941,164.86507992240865
B,random_fivefold_cv,1,LightGBM,ok,777,195,0.02257401445631224,0.11191628263632147,4.869566794903893,1.4202576319969327,223.74104028717832
B,random_fivefold_cv,2,LightGBM,ok,777,195,-0.009636497768113372,0.024553658503920772,2.384084993563239,0.8235677083238456,150.02191196666962
B,random_fivefold_cv,3,LightGBM,ok,778,194,0.04181292390369895,0.24657630960028143,3.692091010946996,0.8801116509197613,142.1886868575345
B,random_fivefold_cv,4,LightGBM,ok,778,194,-0.01767654829982912,-0.1587195117000797,3.651388247028524,1.0323941148516214,237.78727867386328
B,random_fivefold_cv,5,LightGBM,ok,778,194,-0.03264265041357706,-0.00030402190630685055,7.718525925629084,1.5371572787046923,132.42409223434683
B,random_fivefold_cv,pooled,LightGBM,ok,778,972,-0.005095971580929115,0.052362962733294105,4.813502285459333,1.1386631399083438,177.25245565437737
B,random_fivefold_cv,1,ExtraTrees,ok,777,195,0.03834482109610626,0.1852619746837607,4.8301217101752005,1.3651442741412334,212.79872025727684
B,random_fivefold_cv,2,ExtraTrees,ok,777,195,0.05608118506492965,0.16026984064442207,2.3051889797453633,0.7592388172154922,137.7751957178233
B,random_fivefold_cv,3,ExtraTrees,ok,778,194,0.03776054834277498,0.2448252222618188,3.6998900900768312,0.8779944856544405,143.1766416858186
B,random_fivefold_cv,4,ExtraTrees,ok,778,194,0.07718582350044256,0.1013432767105753,3.4770445795538794,0.9370270212090407,208.4574496338849
B,random_fivefold_cv,5,ExtraTrees,ok,778,194,-0.0019435990243277246,0.18635370911991134,7.602929713357416,1.4631744329370897,123.37476550143481
B,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.027048793548964167,0.18040942369859525,4.735904613809859,1.0804781019916383,165.13748131527302
C,random_fivefold_cv,1,RF,ok,777,195,0.030565444842977296,0.2906075433796138,31.296077934264964,20.341923104243634,36.27579473334216
C,random_fivefold_cv,2,RF,ok,777,195,0.0565171623508427,0.060746108552572786,24.106540449040523,18.343122067599595,62.847752368776064
C,random_fivefold_cv,3,RF,ok,778,194,0.08415172137154836,0.18156290556414367,21.885582727922863,16.750981611535664,41.38478341533756
C,random_fivefold_cv,4,RF,ok,778,194,0.08497097466423209,0.2222081885796453,40.12126391910577,20.371999995053965,51.78477599972731
C,random_fivefold_cv,5,RF,ok,778,194,-0.008717447043312898,0.13093150856014302,45.747561164093895,22.64858613977705,40.71915322888353
C,random_fivefold_cv,pooled,RF,ok,778,972,0.045348406446355516,0.17915686502206551,33.877178993980394,19.69060488817342,46.608541088311775
C,random_fivefold_cv,1,XGBoost,ok,777,195,0.034556920931325674,0.29447776212840393,31.231583434374034,20.58704353543795,37.481573288976335
C,random_fivefold_cv,2,XGBoost,ok,777,195,0.07319318047353318,0.09714788456357426,23.892549636889854,18.22611665657239,60.96408385000803
C,random_fivefold_cv,3,XGBoost,ok,778,194,0.06443173809358793,0.17968902870446524,22.119947310814265,16.805670635341368,41.47942221636004
C,random_fivefold_cv,4,XGBoost,ok,778,194,0.13241595461950972,0.24323470134275027,39.067259666840776,20.440213228961117,52.63182183250426
C,random_fivefold_cv,5,XGBoost,ok,778,194,0.002237849651280266,0.1701427614879295,45.49845953346594,22.0450803914021,39.355453929921005
C,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.063653840281648,0.19965238586896572,33.55080962112862,19.62038405663447,46.38831538064434
C,random_fivefold_cv,1,LightGBM,ok,777,195,-0.03242884085523223,0.22942553727248316,32.296891956017646,20.850927999103288,36.598859360792765
C,random_fivefold_cv,2,LightGBM,ok,777,195,-0.01761126862498985,0.07687039480573588,25.03564820641327,19.16021708828968,61.13653433605519
C,random_fivefold_cv,3,LightGBM,ok,778,194,-0.03702079852005902,0.11257013786548176,23.28842302474354,17.648886514930172,42.81614857713008
C,random_fivefold_cv,4,LightGBM,ok,778,194,0.15206788122812964,0.2332080107591349,38.622262728040596,20.057545719165315,52.96615983767673
C,random_fivefold_cv,5,LightGBM,ok,778,194,-0.009339144578996095,0.1342336357216427,45.761656669840775,22.281844378803154,38.90963871812716
