target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
C,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.2072075111680567,-0.7839207850500711,37.378518901759534,30.449246907375763,96.88133302484138
C,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.36311170135319903,-0.9964011524842731,39.71886660872774,33.417141980084295,106.85019493398924
C,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.16899147666479597,-0.683328260402309,36.78212336229438,28.590689716567642,89.57420608513908
C,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.19684292921419488,-0.7124342155226366,37.21771479437193,28.714907654781474,90.27562515691079
C,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.32170837247012085,-0.8197904410858743,39.1110022147057,29.06205669732147,91.88411572985486
C,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.09386456309741131,-0.5775193283429516,35.58056997301227,28.659263141385907,87.68921639871266
C,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.08146804145210473,-0.5288111589675593,35.37838219575867,28.852054504418,86.50564578405789
C,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.23047435443665543,-0.5199544415469128,37.73700310516785,29.397108696241823,84.54325446784392
C,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.13530045139897418,-0.6151938810869064,36.24820702429997,28.145269895625006,86.66620562878309
C,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.1220219776190059,-0.5743844540635863,36.03560403486138,27.824082548013045,84.4596792597811
C,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.14231086502555956,-0.5343979413896511,36.35995006310666,27.436442012192927,80.74846128721194
C,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.14539236967637992,-0.6638169009904007,36.40895944321115,29.132683714147873,91.17856537136849
C,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.16189502188720062,-0.6961069090413623,36.67030902192628,29.798895649941926,93.48434372936956
C,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.3008137844154839,-0.8347936073185453,38.80062216179054,31.178388141055887,98.16588055171404
D,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-0.4281528335346967,-0.21280971832266316,60.22814399882388,28.799201837954637,59.48192656376637
D,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.18479977032517403,-0.0726964207805445,54.85732392128765,26.28396726149945,54.459272941388015
D,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,0.001224776187211618,0.03313176498221038,50.3669922925222,24.135164530487003,50.585224290783316
D,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,0.20128831912057144,0.1553315164249145,45.040909868235474,21.151898784792905,45.67110666715442
D,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.3229478768606888,-0.15151742078930064,57.96735761943734,27.59124876582997,57.00847354138872
D,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.23848324182658343,-0.1116248571284868,56.08635342779986,26.674348000956737,55.44019406014168
D,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.13177493667808005,-0.08650239153155415,53.61572379964423,25.368905411964928,53.73477750699192
D,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.3225890861426526,-0.016212775481193376,57.95949655379708,26.395989335855628,51.49693269597461
D,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.26361404090488905,0.09761813905436345,56.65253641873096,24.433940135363784,44.7275397578834
D,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.2618228680648864,-1.1943834145575325,56.612369695826295,25.853424556704496,45.933225856081634
D,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.27788887106606364,-0.03933016279805046,56.9716347227159,25.990513373760432,51.91927451475769
D,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.1611847079464266,0.10605102962298019,54.307872665664874,23.425721042900935,44.78407218745483
D,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.02845577975414093,0.25439604499821544,51.1098902916165,21.53567192973813,37.2627129649047
D,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.3528962776806126,-0.09996754696077503,58.61980751935353,26.775739158762317,53.750252381606956
