feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,D,NGBoost,ok,815,100,28,0.04391200443844001,-0.1614428352526467,56.28646461927136,23.780775204577882,56.19411778891797
baseline,literature_2019_2020,E,RF,ok,815,100,28,0.10715794970182635,0.08881441047555094,10.608521282616513,7.413776815852197,27.399186387422635
baseline,literature_2019_2020,E,ExtraTrees,ok,815,100,28,0.0997483105801199,0.0941433293318773,10.652450050532147,7.67463495428914,27.826116151501683
baseline,literature_2019_2020,E,HistGBR,ok,815,100,28,-0.21523100973837495,-0.13700620860601065,12.37647461802446,8.784423870138138,31.817435160973222
baseline,literature_2019_2020,E,ElasticNet,ok,815,100,28,0.06747599826488837,0.040030901173813915,10.841703932218614,7.3460531955683335,28.2290677280574
baseline,literature_2019_2020,E,PLSR,ok,815,100,28,0.0617834133352132,0.021954785644892394,10.874745129270579,7.5090293825682615,29.088397809812093
baseline,literature_2019_2020,E,XGBoost,ok,815,100,28,-0.020217551754998953,0.011028129968501998,11.340022842261908,7.8243205581665025,28.668327771599948
baseline,literature_2019_2020,E,LightGBM,ok,815,100,28,-0.27877192315169674,-0.1500502229593239,12.695917162156535,8.80238309172016,31.31169631544573
baseline,literature_2019_2020,E,CatBoost,ok,815,100,28,0.06350730860710585,0.06803223287968507,10.864749814021684,7.360253835167865,27.1893258822826
baseline,literature_2019_2020,E,NGBoost,ok,815,100,28,-0.3501897642732026,-0.15019877732908848,13.045626476038136,8.80552218031151,31.95922736592756
baseline,literature_2019_2020,F,RF,ok,815,100,28,0.01860652489333725,0.18959601657023595,85.02347337881916,41.281528126725505,67.6825679344457
baseline,literature_2019_2020,F,ExtraTrees,ok,815,100,28,0.031325214133565815,0.15189567685771233,84.47073194539001,41.84670388735571,72.61671522474263
baseline,literature_2019_2020,F,HistGBR,ok,815,100,28,-0.03510087864465716,0.05128705570788117,87.31896881478953,45.275933564272556,79.66180191461261
baseline,literature_2019_2020,F,ElasticNet,ok,815,100,28,-0.44779231184418156,0.2414643755983169,103.2691001450412,46.33708930419903,65.1216410007394
baseline,literature_2019_2020,F,PLSR,ok,815,100,28,-0.5832903262850462,0.24100773733562741,107.9934806605265,46.561937927371055,64.62778057038149
baseline,literature_2019_2020,F,XGBoost,ok,815,100,28,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661
baseline,literature_2019_2020,F,LightGBM,ok,815,100,28,0.04157519423887801,0.11879474740624496,84.0226321553462,42.426289222017324,74.59363325503112
baseline,literature_2019_2020,F,CatBoost,ok,815,100,28,0.0997186045215932,0.24504733818572066,81.43411808399321,38.10900176225371,61.1117483270825
baseline,literature_2019_2020,F,NGBoost,ok,815,100,28,0.0825657546912375,0.25304972070356,82.20623027471504,39.21738646043029,63.36685357112463
baseline,literature_2019_2020,G,RF,ok,815,100,28,-0.10702223678013101,-0.312716687185407,131.09790684902714,57.463675075159266,48.49037736934821
baseline,literature_2019_2020,G,ExtraTrees,ok,815,100,28,-0.028663783046465108,-0.11797079854501491,126.37300427230653,50.6551048841011,40.69671346025386
baseline,literature_2019_2020,G,HistGBR,ok,815,100,28,-0.24068917383456645,-0.4957323144953709,138.7870937710722,65.68407469422125,58.77943396472607
baseline,literature_2019_2020,G,ElasticNet,ok,815,100,28,-0.03128166591232162,-0.008874109485266235,126.5337076577971,46.55217943484688,33.55552318061555
baseline,literature_2019_2020,G,PLSR,ok,815,100,28,-0.024756031489833186,-0.009909366906044603,126.13273908200094,46.82568951567885,34.3764781197083
baseline,literature_2019_2020,G,XGBoost,ok,815,100,28,-0.09847072429930415,-0.23730345955680754,130.59057339674297,56.50438309112548,45.9820548899817
baseline,literature_2019_2020,G,LightGBM,ok,815,100,28,-0.17593524618307166,-0.47129319206714104,135.1167806961307,63.74030500186788,55.267634413786226
baseline,literature_2019_2020,G,CatBoost,ok,815,100,28,-0.011846106672083856,-0.007651121824551188,125.33570776816286,49.236102846598115,37.02019725827784
baseline,literature_2019_2020,G,NGBoost,ok,815,100,28,-0.2362454392428912,-0.46939081421633233,138.53832629303622,59.73952496309972,50.99886716651284
baseline,literature_2019_2020,H,RF,ok,815,100,28,0.4234550387085234,0.4193783180570465,0.2711049384504586,0.11734962310584443,88.42645304150848
baseline,literature_2019_2020,H,ExtraTrees,ok,815,100,28,0.3129774026314859,0.3624290497242565,0.29594182609612013,0.12203659035722608,85.65834947833386
