protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
temporal_2022_2026,E,multi_evidence_fusion,multi_evidence_fusion,RidgeStackTop12Clipped,100.0,34.0,0.261732206431167,0.237333164599237,20.908926651347365,9.82652078375368,23.824523260453308,
temporal_2022_2026,F,multi_evidence_fusion,multi_evidence_fusion,RidgeStackTop12Clipped,100.0,34.0,0.0977399574047814,-0.3816960149089723,76.41055221514453,46.61696127808689,33.064768358610245,
temporal_2022_2026,G,multi_evidence_fusion,multi_evidence_fusion,Top3InvRMSEMean,100.0,34.0,0.1075679244532565,-0.1639039935410351,25.921079687295723,20.101602735027384,40.29668739498051,
temporal_2022_2026,H,multi_evidence_fusion,multi_evidence_fusion,ValBestSingle,100.0,34.0,0.0264663964793049,0.0615406982591014,0.2326599041845723,0.1051867290286222,140.73013921632844,
literature_2019_2020,A,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,815.0,100.0,0.0697055182782862,0.1137621420230202,13.482780405685055,6.7235055,33.65875526009632,
literature_2019_2020,B,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid2_Q96,815.0,100.0,-4.829456107622849,-6.458069634198406,5.24839044905845,4.770261599999993,1654.3230458225864,
literature_2019_2020,C,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN12_Q25,815.0,100.0,-0.2092238253208835,-1.1842971892720455,57.62267970774398,30.230690000000003,42.05785037591167,
literature_2019_2020,D,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,815.0,100.0,-0.0021274106860424,-0.1668916976338896,57.62573918438184,22.790462,45.73112176817985,
literature_2019_2020,E,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,815.0,100.0,0.0238131426826848,0.0193500254207713,11.092616845451754,7.277260000000002,27.371794270520645,
literature_2019_2020,F,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid2_Q96,815.0,100.0,-10.844349512208764,-3.937004364505528,295.3744098213993,219.36576,565.7277861248712,
literature_2019_2020,G,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid5_Q50,815.0,100.0,-0.0620306299617692,-0.0643296398699135,128.40623332097238,43.41575999999999,26.807624665968955,
